imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
tt0253213,0.0,,,0.0,"[{'id': 53, 'name': 'Thriller'}]",,6148.0,de,Liebestod,,0.711,,"[{'id': 46, 'logo_path': '/3xFdKHLXPGHEbrAkmsepGE8974Y.png', 'name': 'WDR', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2000-08-30,0.0,85.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Liebestod,0.0,4.8,4.0,
tt0253249,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,619234.0,fa,میکس,An Iranian director and his technical crew scramble to complete post-production on their latest film in time for the Fajr Film Festival.,0.6000000000000001,/3IMqnHd45Rao5Vrdz3eafdyB87Y.jpg,[],"[{'iso_3166_1': 'IR', 'name': 'Iran'}]",2000-01-01,0.0,86.0,"[{'english_name': 'Persian', 'iso_639_1': 'fa', 'name': 'فارسی'}]",Released,,The Mix,0.0,0.0,0.0,
tt0253357,0.0,,,0.0,"[{'id': 99, 'name': 'Documentary'}]",https://www.nzonscreen.com/title/numero-bruno-2000,951207.0,en,Numero Bruno,"Numero Bruno is a warts and all biography of widely popular actor, musician and counter-cultural hero Bruno Lawrence. Lawrence's intense, charismatic screen presence was key to ground-breaking Kiwi films, Smash Palace, The Quiet Earth and Utu. Directed by Steve La Hood, this documentary features interviews with family and friends, and liberal excerpts from Lawrence's film and musical work, including performances by 70s alternative Aotearoa icons Blerta and clips showcasing his seminal collaborations with Geoff Murphy.",0.6000000000000001,,"[{'id': 32186, 'logo_path': None, 'name': 'Hoodwink Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}]",2000-01-01,0.0,68.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Numero Bruno,0.0,0.0,0.0,
tt0253378,0.0,/545JJIh6Ow1EyraXwJtzsjBViqz.jpg,,0.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,54690.0,ko,오! 수정,"When filmmaker Young-soo introduces writer Soo-jung to his friend Jae-hoon, he unintentionally creates a love triangle. While Jae-hoon pursues Soo-jung, Young-soo clashes with his crew. Yet, just as the story appears to end, it starts all over again, this time with plenty of variations.",3.807,/hV0kpO5WZGtBR9jmGd33IfY0P8a.jpg,"[{'id': 68952, 'logo_path': None, 'name': 'Miracin Korea', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2000-05-27,0.0,127.0,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,Virgin Stripped Bare by Her Bachelors,0.0,6.7,34.0,
tt0253486,0.0,,"{'id': 432207, 'name': 'The Sex Files', 'poster_path': None, 'backdrop_path': None}",0.0,"[{'id': 878, 'name': 'Science Fiction'}]",,281014.0,en,Sex Files: Pleasureville,Aliens masquerading as owners of a small town video store distribute tapes that cause anyone who watches them to pleasure themselves and whoever else is nearby.,3.246,/jYHWGGD8QHnLo2GEUalLcBcBzTe.jpg,"[{'id': 59938, 'logo_path': None, 'name': 'Click Productions', 'origin_country': 'US'}, {'id': 77499, 'logo_path': None, 'name': 'ASP S.A.', 'origin_country': 'FR'}, {'id': 74999, 'logo_path': None, 'name': 'Riouw Beleggingen BV', 'origin_country': 'NL'}, {'id': 75000, 'logo_path': None, 'name': 'Oranton Ltd.', 'origin_country': 'IE'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IE', 'name': 'Ireland'}, {'iso_3166_1': 'NL', 'name': 'Netherlands'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-01-09,0.0,79.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Sex Files: Pleasureville,0.0,6.4,7.0,
tt0253521,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,592759.0,it,Quando una donna non dorme,"Sara, a quite librarian reluctant to enter into an affair following one that went wrong, and Bruno, a seemingly cynical guy looking for a one-night stand, become attracted to each other.",0.6000000000000001,,[],"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2000-08-18,0.0,107.0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,How can a woman conquer a man?,When a Man Loves a Woman,0.0,0.0,0.0,
tt0253525,0.0,/dWh03wRmug1wkipdgn1XBM5Vo4L.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,117907.0,it,Qui non è il paradiso,,0.6000000000000001,/4vnzHGXgWBCtwjuEXiHQQxp7OyX.jpg,"[{'id': 5891, 'logo_path': None, 'name': 'Cecchi Gori Group', 'origin_country': ''}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2000-09-21,0.0,0.0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Qui non è il paradiso,0.0,6.7,3.0,
tt0253550,0.0,/pP1dKbuZYPyTcFRJMqojokrd9AL.jpg,,0.0,"[{'id': 10751, 'name': 'Family'}, {'id': 10770, 'name': 'TV Movie'}]",,77576.0,en,Ready to Run,"A 14-year-old girl who works at a racetrack trains a talking racehorse with issues, transforming him into a winner.",2.909,/eB05QE1q4OCGws85whmo8LSrvTX.jpg,[],[],2000-07-14,0.0,88.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Ready to Run,0.0,6.1,18.0,
tt0253555,0.0,,,0.0,[],,274303.0,en,A Regular Frankie Fan,A Regular Frankie Fan is a 2000 documentary film on the fans of The Rocky Horror Picture Show. It was narrated by Paul Williams and written and directed by Scott Mabbutt. The majority of the documentary was filmed at theaters screening The Rocky Horror Picture Show in and around Southern California. It was released on DVD by Liberty International in 2001.,0.6000000000000001,/wLHU1hidpP3eh0Tb2pIYpgUJTP6.jpg,"[{'id': 90482, 'logo_path': None, 'name': 'Lighthead Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-01-01,0.0,75.0,[],Released,,A Regular Frankie Fan,0.0,0.0,0.0,
tt0253620,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,146032.0,en,Saint Jude,"Teen-aged sisters Jude and Maureen, living with their volatile father in Montréal, live a life of substance abuse, hustling and petty theft. After Jude's father kicks her out of the house for her abusive and thieving ways, Jude is forced to survive on the streets with the assistance of her odd assortment of friends, including middle aged pedophile Clarence, pre-teen male hustler Georgie, pimp Big Al, and Maureen's junkie boyfriend Gabe. Georgie has a crush on Jude, while Jude unrealistically fantasizes about a normal married life with Gabe. All the while, Jude is also trying to elude the sadistic Mink, who she inadvertently crossed",0.984,/zxRBh7mG1oBdKCQAeJtaua65LRm.jpg,[],"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2000-10-06,0.0,92.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Saint Jude,0.0,0.0,0.0,
